id;name;city_id
71597;Школа № 15;30
9884;Школа № 16;30
17440;Школа № 17;30
75796;Школа № 18;30
21263;Школа № 21;30
27362;Школа № 22;30
85573;Профессиональное училище № 23;30
298;Гимназия № 25 (бывш. шк. 25);30
22935;Школа № 26;30
226261;Профессиональный лицей № 26;30
33746;Школа № 27;30
147944;Профессиональный лицей № 27;30
953;Школа № 28;30
102282;Школа № 30;30
37958;Школа № 44;30
1719992;Автошкола ВОА;30
1705588;Автошкола ДОСААФ;30
1768404;Академический колледж АмГУ;30
1793333;Алексеевская гимназия;30
1764329;Амурский аграрный колледж (АМАК);30
1739400;Амурский кадетский корпус;30
159669;Амурский колледж искусств и культуры (АОКИК, бывш. АОУК);30
1849208;Амурский колледж сервиса и торговли;30
1778895;Амурский колледж строительства и жилищно-коммунального хозяйства;30
1740808;Амурский колледж транспорта и дорожного хозяйства (АКТДХ);30
235871;Амурский медицинский колледж (АМК);30
1776895;Амурский областной институт развития образования;30
1778894;Амурский строительный колледж;30
173005;Благовещенский коммунально-строительный колледж;30
1778896;Дальневосточный государственный колледж градостроительства и бизнеса;30
46250;Детско-юношеская спортивная школа «Спартак»;30
378806;Институт Конфуция БГПУ;30
22975;Лицей АмГУ;30
11780;Лицей БГПУ;30
142958;Медицинское училище;30
120850;Музыкальное училище;30
367478;Политехнический колледж (БПК);30
1734693;Прогимназия;30
196019;Речное командное училище;30
211496;Сельскохозяйственный техникум;30
139845;Техникум физической культуры (БТФК);30
83418;Технологический техникум (БТТ);30
28365;Торгово-экономический колледж;30
134380;Училище культуры;30
1782350;Факультет СПО АмГУ;30
467348;Физико-математическая школа при АмГУ;30
124888;Финансово-экономический колледж;30
195151;Финансовый техникум;30
131287;Художественная школа;30
425406;Центр эстетического воспитания;30
455358;Центр эстетического воспитания детей «Радуга»;30
467361;Центральная детская школа искусств;30
369552;Школа «Наш дом»;30
184740;Школа «Эрудит»;30
427407;Школа восточных языков;30
65656;Школа иностранных языков «Андора»;30
175671;Эстрадная студия «Феерия»;30
239544;Языковая школа «Ёко»;30
6377;Школа № 1;1193
707440;Школа № 3;1193
255415;Школа № 4;1193
1849120;Школа № 5;1193
707444;Школа № 218;1193
115651;Школа № 219;1193
1856800;Амурский аграрный колледж;1193
348021;Детский сад «Буратино»;1193
707450;Дом детского творчества;1193
248363;Школа искусств;1193
60106;Школа № 1;838
51483;Вечерняя (сменная) школа № 1;838
279949;Школа № 2 им. А. С. Пушкина;838
145416;Детско-юношеская спортивная школа № 2;838
24097;Школа № 3;838
12176;Школа № 4;838
8716;Школа № 5;838
535435;Школа-интернат № 9;838
141342;Лицей;838
715732;Политехнический техникум (ЗФ БПТ);838
715736;Станция юных натуралистов;838
715727;Филиал Амурского медицинского колледжа (бывш. Медицинское училище, ЗММУ);838
715731;Филиал Благовещенского торгово-экономического колледжа (ЗФ БТЭК);838
715726;Центр образования;838
93001;Школа искусств;838
24693;Школа № 1;2618
287830;Профессиональное училище № 2;2618
131599;Школа № 5;2618
53574;Гимназия № 8;2618
901934;Профессиональное училище № 11;2618
12144;Школа № 15;2618
46920;Школа № 16;2618
149848;Школа № 22;2618
149849;Дворец детей и юношества;2618
1854077;Детская школа искусств;2618
901937;Индустриальный техникум (РИТ);2618
901936;Филиал Амурского медицинского колледжа;2618
82189;Школа № 1;22295
489654;Вечерняя школа № 1;22295
516445;Школа № 2;22295
199182;Детско-юношеская спортивная школа № 2 им. О. В. Качева;22295
421057;Школа-интернат № 4;22295
479780;Школа № 5;22295
98471;Школа № 6;22295
37916;Школа № 8;22295
901940;Профессиональное училище № 8;22295
32997;Гимназия № 9;22295
85825;Детский сад № 10;22295
88246;Школа № 11;22295
118004;Школа-интернат № 12;22295
159266;Школа № 15;22295
61080;Школа-интернат № 17;22295
531929;Школа № 20;22295
163520;Школа № 22;22295
155310;Школа № 189;22295
180251;Школа № 192;22295
528252;Автошкола ДОСААФ;22295
901938;Амурский кооперативный техникум;22295
1849162;Амурский технический колледж;22295
1860315;Газпром школа Свободный;22295
238141;Медицинское училище;22295
146275;Музыкальная школа;22295
1849117;Специальная (коррекционная) школа-интернат;22295
184401;Техникум железнодорожного транспорта (СТЖТ);22295
277034;Художественная школа;22295
108119;Школа искусств;22295
13334;Школа № 1;2890
483123;Школа № 2;2890
163392;Школа № 3;2890
78707;Школа № 136;2890
295655;Школа № 137;2890
